seed,input_rate,max_time,num_restarts,deact_weight,time_pressure,max_capacity,act_rest,input_name,sub_threshold,coop_weight,k,tau,comp_weight,coop_asymmetry,prune_threshold,start_produce,num_restarts,noise_std,ext_weight,conf_threshold,partial_readout,structural_compactness,utterance_intervals,cxn_usage_count,num_utterances,PASSIVE,ACTIVE,global_syntactic_complexity,syntactic_complexity,utterance_lengths,requested_info,num_requests,max_BLEU_score,utterance
487921604,100,1000,5,0.0,50.0,nan,0.001,event_patient_action_agent,0.8,1.0,10,10.0,-10.0,1.0,0.01,1,5,1.0,1.0,0.3,0.0,3.0,nan,4.0,1.0,0.0,1.0,0.25,0.25,3.0,nan,nan,nan,<START><303>girl kick man<END>
487921604,100,1000,5,0.0,50.0,nan,0.001,event_patient_action_agent,0.8,1.0,10,10.0,-10.0,1.0,0.01,1,5,1.0,1.0,0.3,0.0,3.0,nan,4.0,1.0,0.0,1.0,0.25,0.25,3.0,nan,nan,nan,<START><303>girl kick man<END>
487921604,100,1000,5,0.0,50.0,nan,0.001,event_patient_action_agent,0.8,1.0,10,10.0,-10.0,1.0,0.01,1,5,1.0,1.0,0.3,0.0,3.0,nan,4.0,1.0,0.0,1.0,0.25,0.25,3.0,nan,nan,nan,<START><303>girl kick man<END>
487921604,100,1000,5,0.0,50.0,nan,0.001,event_patient_action_agent,0.8,1.0,10,10.0,-10.0,1.0,0.01,1,5,1.0,1.0,0.3,0.0,3.0,nan,4.0,1.0,0.0,1.0,0.25,0.25,3.0,nan,nan,nan,<START><303>girl kick man<END>
487921604,100,1000,5,0.0,50.0,nan,0.001,event_patient_action_agent,0.8,1.0,10,10.0,-10.0,1.0,0.01,1,5,1.0,1.0,0.3,0.0,3.0,nan,4.0,1.0,0.0,1.0,0.25,0.25,3.0,nan,nan,nan,<START><303>girl kick man<END>
487921604,100,1000,5,0.0,50.0,nan,0.001,event_patient_action_agent,0.8,1.0,10,1000,-10.0,1.0,0.01,1,5,1.0,1.0,0.3,0.8,4.0,61.0,10.0,5.0,1.0,0.0,0.1,0.05,4.0,<START><105>ACTION_65127(a1)<166>ACTION_65127(a1)<227>ENTITY_65130(e2)<288>ENTITY_65130(e2)<END>,4,nan,<START><105>man is<166>man is<227>man is kick -ed by<288>man is kick -ed by<349>man is kick -ed by girl<END>
487921604,100,1000,5,0.0,50.0,nan,0.001,event_patient_action_agent,0.8,1.0,10,1000,-10.0,1.0,0.01,1,5,1.0,1.0,0.3,0.8,4.0,61.0,10.0,5.0,1.0,0.0,0.1,0.05,4.0,<START><105>ACTION_65127(a1)<166>ACTION_65127(a1)<227>ENTITY_65130(e2)<288>ENTITY_65130(e2)<END>,4,nan,<START><105>man is<166>man is<227>man is kick -ed by<288>man is kick -ed by<349>man is kick -ed by girl<END>
487921604,100,1000,5,0.0,50.0,nan,0.001,event_patient_action_agent,0.8,1.0,10,1000,-10.0,1.0,0.01,1,5,1.0,1.0,0.3,0.8,4.0,61.0,10.0,5.0,1.0,0.0,0.1,0.05,4.0,<START><105>ACTION_65127(a1)<166>ACTION_65127(a1)<227>ENTITY_65130(e2)<288>ENTITY_65130(e2)<END>,4,nan,<START><105>man is<166>man is<227>man is kick -ed by<288>man is kick -ed by<349>man is kick -ed by girl<END>
487921604,100,1000,5,0.0,50.0,nan,0.001,event_patient_action_agent,0.8,1.0,10,1000,-10.0,1.0,0.01,1,5,1.0,1.0,0.3,0.8,4.0,61.0,10.0,5.0,1.0,0.0,0.1,0.05,4.0,<START><105>ACTION_65127(a1)<166>ACTION_65127(a1)<227>ENTITY_65130(e2)<288>ENTITY_65130(e2)<END>,4,nan,<START><105>man is<166>man is<227>man is kick -ed by<288>man is kick -ed by<349>man is kick -ed by girl<END>
487921604,100,1000,5,0.0,50.0,nan,0.001,event_patient_action_agent,0.8,1.0,10,1000,-10.0,1.0,0.01,1,5,1.0,1.0,0.3,0.8,4.0,61.0,10.0,5.0,1.0,0.0,0.1,0.05,4.0,<START><105>ACTION_65127(a1)<166>ACTION_65127(a1)<227>ENTITY_65130(e2)<288>ENTITY_65130(e2)<END>,4,nan,<START><105>man is<166>man is<227>man is kick -ed by<288>man is kick -ed by<349>man is kick -ed by girl<END>
487921604,100,1000,5,0.0,88.8888888889,nan,0.001,event_patient_action_agent,0.8,1.0,10,10.0,-10.0,1.0,0.01,1,5,1.0,1.0,0.3,0.0,3.0,nan,4.0,1.0,0.0,1.0,0.25,0.25,3.0,nan,nan,nan,<START><309>girl kick man<END>
487921604,100,1000,5,0.0,88.8888888889,nan,0.001,event_patient_action_agent,0.8,1.0,10,10.0,-10.0,1.0,0.01,1,5,1.0,1.0,0.3,0.0,3.0,nan,4.0,1.0,0.0,1.0,0.25,0.25,3.0,nan,nan,nan,<START><309>girl kick man<END>
487921604,100,1000,5,0.0,88.8888888889,nan,0.001,event_patient_action_agent,0.8,1.0,10,10.0,-10.0,1.0,0.01,1,5,1.0,1.0,0.3,0.0,3.0,nan,4.0,1.0,0.0,1.0,0.25,0.25,3.0,nan,nan,nan,<START><309>girl kick man<END>
487921604,100,1000,5,0.0,88.8888888889,nan,0.001,event_patient_action_agent,0.8,1.0,10,10.0,-10.0,1.0,0.01,1,5,1.0,1.0,0.3,0.0,3.0,nan,4.0,1.0,0.0,1.0,0.25,0.25,3.0,nan,nan,nan,<START><309>girl kick man<END>
487921604,100,1000,5,0.0,88.8888888889,nan,0.001,event_patient_action_agent,0.8,1.0,10,10.0,-10.0,1.0,0.01,1,5,1.0,1.0,0.3,0.0,3.0,nan,4.0,1.0,0.0,1.0,0.25,0.25,3.0,nan,nan,nan,<START><309>girl kick man<END>
487921604,100,1000,5,0.0,88.8888888889,nan,0.001,event_patient_action_agent,0.8,1.0,10,1000,-10.0,1.0,0.01,1,5,1.0,1.0,0.3,0.666666666667,4.33333333333,100.0,7.0,3.0,1.0,0.0,0.142857142857,0.0833333333333,4.33333333333,<START><111>ACTION_65127(a1)<211>ENTITY_65130(e2)<END>,2,nan,<START><111>man is<211>man is kick -ed by<311>man is kick -ed by girl<END>
487921604,100,1000,5,0.0,88.8888888889,nan,0.001,event_patient_action_agent,0.8,1.0,10,1000,-10.0,1.0,0.01,1,5,1.0,1.0,0.3,0.666666666667,4.33333333333,100.0,7.0,3.0,1.0,0.0,0.142857142857,0.0833333333333,4.33333333333,<START><111>ACTION_65127(a1)<211>ENTITY_65130(e2)<END>,2,nan,<START><111>man is<211>man is kick -ed by<311>man is kick -ed by girl<END>
487921604,100,1000,5,0.0,88.8888888889,nan,0.001,event_patient_action_agent,0.8,1.0,10,1000,-10.0,1.0,0.01,1,5,1.0,1.0,0.3,0.666666666667,4.33333333333,100.0,7.0,3.0,1.0,0.0,0.142857142857,0.0833333333333,4.33333333333,<START><111>ACTION_65127(a1)<211>ENTITY_65130(e2)<END>,2,nan,<START><111>man is<211>man is kick -ed by<311>man is kick -ed by girl<END>
487921604,100,1000,5,0.0,88.8888888889,nan,0.001,event_patient_action_agent,0.8,1.0,10,1000,-10.0,1.0,0.01,1,5,1.0,1.0,0.3,0.666666666667,4.33333333333,100.0,7.0,3.0,1.0,0.0,0.142857142857,0.0833333333333,4.33333333333,<START><111>ACTION_65127(a1)<211>ENTITY_65130(e2)<END>,2,nan,<START><111>man is<211>man is kick -ed by<311>man is kick -ed by girl<END>
487921604,100,1000,5,0.0,88.8888888889,nan,0.001,event_patient_action_agent,0.8,1.0,10,1000,-10.0,1.0,0.01,1,5,1.0,1.0,0.3,0.666666666667,4.33333333333,100.0,7.0,3.0,1.0,0.0,0.142857142857,0.0833333333333,4.33333333333,<START><111>ACTION_65127(a1)<211>ENTITY_65130(e2)<END>,2,nan,<START><111>man is<211>man is kick -ed by<311>man is kick -ed by girl<END>
487921604,100,1000,5,0.0,127.777777778,nan,0.001,event_patient_action_agent,0.8,1.0,10,10.0,-10.0,1.0,0.01,1,5,1.0,1.0,0.3,0.0,3.0,nan,4.0,1.0,0.0,1.0,0.25,0.25,3.0,nan,nan,nan,<START><304>girl kick man<END>
487921604,100,1000,5,0.0,127.777777778,nan,0.001,event_patient_action_agent,0.8,1.0,10,10.0,-10.0,1.0,0.01,1,5,1.0,1.0,0.3,0.0,3.0,nan,4.0,1.0,0.0,1.0,0.25,0.25,3.0,nan,nan,nan,<START><304>girl kick man<END>
487921604,100,1000,5,0.0,127.777777778,nan,0.001,event_patient_action_agent,0.8,1.0,10,10.0,-10.0,1.0,0.01,1,5,1.0,1.0,0.3,0.0,3.0,nan,4.0,1.0,0.0,1.0,0.25,0.25,3.0,nan,nan,nan,<START><304>girl kick man<END>
487921604,100,1000,5,0.0,127.777777778,nan,0.001,event_patient_action_agent,0.8,1.0,10,10.0,-10.0,1.0,0.01,1,5,1.0,1.0,0.3,0.0,3.0,nan,4.0,1.0,0.0,1.0,0.25,0.25,3.0,nan,nan,nan,<START><304>girl kick man<END>
487921604,100,1000,5,0.0,127.777777778,nan,0.001,event_patient_action_agent,0.8,1.0,10,10.0,-10.0,1.0,0.01,1,5,1.0,1.0,0.3,0.0,3.0,nan,4.0,1.0,0.0,1.0,0.25,0.25,3.0,nan,nan,nan,<START><304>girl kick man<END>
487921604,100,1000,5,0.0,127.777777778,nan,0.001,event_patient_action_agent,0.8,1.0,10,1000,-10.0,1.0,0.01,1,5,1.0,1.0,0.3,0.666666666667,4.33333333333,139.0,7.0,3.0,1.0,0.0,0.142857142857,0.0833333333333,4.33333333333,<START><139>ACTION_65127(a1)<278>ENTITY_65130(e2)<END>,2,nan,<START><139>man is<278>man is kick -ed by<417>man is kick -ed by girl<END>
487921604,100,1000,5,0.0,127.777777778,nan,0.001,event_patient_action_agent,0.8,1.0,10,1000,-10.0,1.0,0.01,1,5,1.0,1.0,0.3,0.666666666667,4.33333333333,139.0,7.0,3.0,1.0,0.0,0.142857142857,0.0833333333333,4.33333333333,<START><139>ACTION_65127(a1)<278>ENTITY_65130(e2)<END>,2,nan,<START><139>man is<278>man is kick -ed by<417>man is kick -ed by girl<END>
487921604,100,1000,5,0.0,127.777777778,nan,0.001,event_patient_action_agent,0.8,1.0,10,1000,-10.0,1.0,0.01,1,5,1.0,1.0,0.3,0.666666666667,4.33333333333,139.0,7.0,3.0,1.0,0.0,0.142857142857,0.0833333333333,4.33333333333,<START><139>ACTION_65127(a1)<278>ENTITY_65130(e2)<END>,2,nan,<START><139>man is<278>man is kick -ed by<417>man is kick -ed by girl<END>
487921604,100,1000,5,0.0,127.777777778,nan,0.001,event_patient_action_agent,0.8,1.0,10,1000,-10.0,1.0,0.01,1,5,1.0,1.0,0.3,0.666666666667,4.33333333333,139.0,7.0,3.0,1.0,0.0,0.142857142857,0.0833333333333,4.33333333333,<START><139>ACTION_65127(a1)<278>ENTITY_65130(e2)<END>,2,nan,<START><139>man is<278>man is kick -ed by<417>man is kick -ed by girl<END>
487921604,100,1000,5,0.0,127.777777778,nan,0.001,event_patient_action_agent,0.8,1.0,10,1000,-10.0,1.0,0.01,1,5,1.0,1.0,0.3,0.666666666667,4.33333333333,139.0,7.0,3.0,1.0,0.0,0.142857142857,0.0833333333333,4.33333333333,<START><139>ACTION_65127(a1)<278>ENTITY_65130(e2)<END>,2,nan,<START><139>man is<278>man is kick -ed by<417>man is kick -ed by girl<END>
487921604,100,1000,5,0.0,166.666666667,nan,0.001,event_patient_action_agent,0.8,1.0,10,10.0,-10.0,1.0,0.01,1,5,1.0,1.0,0.3,0.0,3.0,nan,4.0,1.0,0.0,1.0,0.25,0.25,3.0,nan,nan,nan,<START><310>girl kick man<END>
487921604,100,1000,5,0.0,166.666666667,nan,0.001,event_patient_action_agent,0.8,1.0,10,10.0,-10.0,1.0,0.01,1,5,1.0,1.0,0.3,0.0,3.0,nan,4.0,1.0,0.0,1.0,0.25,0.25,3.0,nan,nan,nan,<START><310>girl kick man<END>
487921604,100,1000,5,0.0,166.666666667,nan,0.001,event_patient_action_agent,0.8,1.0,10,10.0,-10.0,1.0,0.01,1,5,1.0,1.0,0.3,0.0,3.0,nan,4.0,1.0,0.0,1.0,0.25,0.25,3.0,nan,nan,nan,<START><310>girl kick man<END>
487921604,100,1000,5,0.0,166.666666667,nan,0.001,event_patient_action_agent,0.8,1.0,10,10.0,-10.0,1.0,0.01,1,5,1.0,1.0,0.3,0.0,3.0,nan,4.0,1.0,0.0,1.0,0.25,0.25,3.0,nan,nan,nan,<START><310>girl kick man<END>
487921604,100,1000,5,0.0,166.666666667,nan,0.001,event_patient_action_agent,0.8,1.0,10,10.0,-10.0,1.0,0.01,1,5,1.0,1.0,0.3,0.0,3.0,nan,4.0,1.0,0.0,1.0,0.25,0.25,3.0,nan,nan,nan,<START><310>girl kick man<END>
487921604,100,1000,5,0.0,166.666666667,nan,0.001,event_patient_action_agent,0.8,1.0,10,1000,-10.0,1.0,0.01,1,5,1.0,1.0,0.3,0.5,4.0,178.0,5.0,2.0,1.0,0.0,0.2,0.125,4.0,<START><178>ACTION_65127(a1)<END>,1,nan,<START><178>man is<356>man is kick -ed by girl<END>
487921604,100,1000,5,0.0,166.666666667,nan,0.001,event_patient_action_agent,0.8,1.0,10,1000,-10.0,1.0,0.01,1,5,1.0,1.0,0.3,0.5,4.0,178.0,5.0,2.0,1.0,0.0,0.2,0.125,4.0,<START><178>ACTION_65127(a1)<END>,1,nan,<START><178>man is<356>man is kick -ed by girl<END>
487921604,100,1000,5,0.0,166.666666667,nan,0.001,event_patient_action_agent,0.8,1.0,10,1000,-10.0,1.0,0.01,1,5,1.0,1.0,0.3,0.5,4.0,178.0,5.0,2.0,1.0,0.0,0.2,0.125,4.0,<START><178>ACTION_65127(a1)<END>,1,nan,<START><178>man is<356>man is kick -ed by girl<END>
487921604,100,1000,5,0.0,166.666666667,nan,0.001,event_patient_action_agent,0.8,1.0,10,1000,-10.0,1.0,0.01,1,5,1.0,1.0,0.3,0.5,4.0,178.0,5.0,2.0,1.0,0.0,0.2,0.125,4.0,<START><178>ACTION_65127(a1)<END>,1,nan,<START><178>man is<356>man is kick -ed by girl<END>
