num_restarts,input_name,x2,x3,x0,x1,x4,x5,syntactic_complexity_mean,syntactic_complexity_std,utterance_length_mean,utterance_length_std,active,passive,total_constructions
10,transitive_action_dynamic_patient_first,0.8,1.0,10,0.8,1.0,1.0,0.25,0.0,3.0,0.0,1,0,4
10,transitive_action_dynamic_patient_first,0.8,1.0,10,0.8,1.0,1.0,0.25,0.0,3.0,0.0,1,0,4
10,transitive_action_dynamic_patient_first,0.8,1.0,10,0.8,1.0,1.0,0.25,0.0,3.0,0.0,1,0,4
10,transitive_action_dynamic_patient_first,0.8,1.0,10,0.8,1.0,1.0,0.25,0.0,3.0,0.0,1,0,4
10,transitive_action_dynamic_patient_first,0.8,1.0,10,0.8,1.0,1.0,0.25,0.0,3.0,0.0,1,0,4
10,transitive_action_dynamic_patient_first,0.8,1.0,10,0.8,1.0,1.0,0.25,0.0,3.0,0.0,1,0,4
10,transitive_action_dynamic_patient_first,0.8,1.0,10,0.8,1.0,1.0,0.25,0.0,3.0,0.0,1,0,4
10,transitive_action_dynamic_patient_first,0.8,1.0,10,0.8,1.0,1.0,0.25,0.0,3.0,0.0,1,0,4
10,transitive_action_dynamic_patient_first,0.8,1.0,10,0.8,1.0,1.0,0.25,0.0,3.0,0.0,1,0,4
10,transitive_action_dynamic_patient_first,0.8,1.0,10,0.8,1.0,1.0,0.25,0.0,3.0,0.0,1,0,4
10,transitive_action_dynamic_patient_first,0.8,1.0,10,0.5,1.0,1.0,0.25,0.0,4.0,0.0,0,0,4
10,transitive_action_dynamic_patient_first,0.8,1.0,10,0.5,1.0,1.0,0.25,0.0,4.0,0.0,0,0,4
10,transitive_action_dynamic_patient_first,0.8,1.0,10,0.5,1.0,1.0,0.25,0.0,4.0,0.0,0,0,4
10,transitive_action_dynamic_patient_first,0.8,1.0,10,0.5,1.0,1.0,0.25,0.0,4.0,0.0,0,0,4
10,transitive_action_dynamic_patient_first,0.8,1.0,10,0.5,1.0,1.0,0.25,0.0,6.0,0.0,0,1,4
10,transitive_action_dynamic_patient_first,0.8,1.0,10,0.5,1.0,1.0,0.25,0.0,6.0,0.0,0,1,4
10,transitive_action_dynamic_patient_first,0.8,1.0,10,0.5,1.0,1.0,0.25,0.0,4.0,0.0,0,0,4
10,transitive_action_dynamic_patient_first,0.8,1.0,10,0.5,1.0,1.0,0.25,0.0,6.0,0.0,0,1,4
10,transitive_action_dynamic_patient_first,0.8,1.0,10,0.5,1.0,1.0,0.25,0.0,4.0,0.0,0,0,4
10,transitive_action_dynamic_patient_first,0.8,1.0,10,0.5,1.0,1.0,0.25,0.0,6.0,0.0,0,1,4
10,transitive_action_dynamic_patient_first,1.0,1.0,10,1.0,1.0,1.0,0.25,0.0,3.0,0.0,1,0,4
10,transitive_action_dynamic_patient_first,1.0,1.0,10,1.0,1.0,1.0,0.25,0.0,3.0,0.0,1,0,4
10,transitive_action_dynamic_patient_first,1.0,1.0,10,1.0,1.0,1.0,0.25,0.0,3.0,0.0,1,0,4
10,transitive_action_dynamic_patient_first,1.0,1.0,10,1.0,1.0,1.0,0.25,0.0,3.0,0.0,1,0,4
10,transitive_action_dynamic_patient_first,1.0,1.0,10,1.0,1.0,1.0,0.25,0.0,3.0,0.0,1,0,4
10,transitive_action_dynamic_patient_first,1.0,1.0,10,1.0,1.0,1.0,0.25,0.0,3.0,0.0,1,0,4
10,transitive_action_dynamic_patient_first,1.0,1.0,10,1.0,1.0,1.0,0.25,0.0,3.0,0.0,1,0,4
10,transitive_action_dynamic_patient_first,1.0,1.0,10,1.0,1.0,1.0,0.25,0.0,3.0,0.0,1,0,4
10,transitive_action_dynamic_patient_first,1.0,1.0,10,1.0,1.0,1.0,0.25,0.0,3.0,0.0,1,0,4
10,transitive_action_dynamic_patient_first,1.0,1.0,10,1.0,1.0,1.0,0.25,0.0,3.0,0.0,1,0,4
10,transitive_action_dynamic_patient_first,1.0,1.0,50,0.5,1.0,1.0,0.25,0.0,6.0,0.0,0,1,4
10,transitive_action_dynamic_patient_first,1.0,1.0,50,0.5,1.0,1.0,0.25,0.0,4.0,0.0,0,0,4
10,transitive_action_dynamic_patient_first,1.0,1.0,50,0.5,1.0,1.0,0.25,0.0,6.0,0.0,0,1,4
10,transitive_action_dynamic_patient_first,1.0,1.0,50,0.5,1.0,1.0,0.25,0.0,6.0,0.0,0,1,4
10,transitive_action_dynamic_patient_first,1.0,1.0,50,0.5,1.0,1.0,0.25,0.0,6.0,0.0,0,1,4
10,transitive_action_dynamic_patient_first,1.0,1.0,50,0.5,1.0,1.0,0.25,0.0,4.0,0.0,0,0,4
10,transitive_action_dynamic_patient_first,1.0,1.0,50,0.5,1.0,1.0,0.25,0.0,6.0,0.0,0,1,4
10,transitive_action_dynamic_patient_first,1.0,1.0,50,0.5,1.0,1.0,0.25,0.0,4.0,0.0,0,0,4
10,transitive_action_dynamic_patient_first,1.0,1.0,50,0.5,1.0,1.0,0.25,0.0,6.0,0.0,0,1,4
10,transitive_action_dynamic_patient_first,1.0,1.0,50,0.5,1.0,1.0,0.25,0.0,4.0,0.0,0,0,4
10,transitive_action_dynamic_patient_first,0.6,1.0,30,0.7,1.0,1.0,0.25,0.0,3.0,0.0,1,0,4
